code,docid,submit,period,dtype,ca,inv,liab,ta,na,solo,mixed,bs_ok,name
603A,S100Z3DI,2026-09-18,2026-06-30,120,12681249000.0,14990000.0,35762015000.0,44294103000.0,8532088000.0,1,0,1,株式会社アイ・グリッド・ソリューションズ
3836,S100Z38F,2026-09-18,2026-06-30,120,19575660000.0,877134000.0,9577076000.0,24147822000.0,14570746000.0,0,0,1,株式会社アバントグループ
9346,S100Z37I,2026-09-18,2026-06-30,120,3406139000.0,,1186007000.0,4475015000.0,3289008000.0,1,0,1,株式会社ココルポート
6548,S100Z35T,2026-09-18,2026-06-30,120,1992137000.0,,1583493000.0,2370729000.0,787236000.0,0,0,1,株式会社旅工房
2154,S100Z35K,2026-09-18,2026-06-30,120,49980000000.0,,49107000000.0,129401000000.0,80293000000.0,0,0,1,株式会社オープンアップグループ
4398,S100Z33X,2026-09-18,2026-06-30,120,2979485000.0,284949000.0,2073134000.0,4501023000.0,2427889000.0,1,0,1,株式会社ブロードバンドセキュリティ
7707,S100Z33F,2026-09-18,2026-06-30,120,4086944000.0,34017000.0,1763656000.0,5853712000.0,4090055000.0,0,0,1,プレシジョン・システム・サイエンス株式会社
2481,S100Z32U,2026-09-18,2026-06-30,120,2964872000.0,1675216000.0,788886000.0,6463133000.0,5674246000.0,1,0,1,株式会社タウンニュース社
9273,S100Z2Z6,2026-09-18,2026-06-30,120,25329867000.0,1570913000.0,8352340000.0,39532710000.0,31180369000.0,0,0,1,コーア商事ホールディングス株式会社
7821,S100Z2XO,2026-09-18,2026-06-30,120,60564000000.0,426000000.0,18677000000.0,94856000000.0,76179000000.0,0,0,1,前田工繊株式会社
4073,S100Z2TG,2026-09-18,2026-06-30,120,1504069000.0,,1643754000.0,1998536000.0,354781000.0,1,0,1,株式会社ジィ・シィ企画
9421,S100Z2S2,2026-09-18,2026-06-30,120,2781910000.0,10351000.0,1978722000.0,3574280000.0,1595557000.0,0,0,1,株式会社エヌジェイホールディングス
5698,S100Z2QT,2026-09-18,2026-06-30,120,19065515000.0,4072191000.0,15582712000.0,34712571000.0,19129859000.0,0,0,1,株式会社エンビプロ・ホールディングス
4847,S100Z2KC,2026-09-18,2026-06-30,120,9880984000.0,1362192000.0,7267815000.0,17333483000.0,10065667000.0,1,0,1,株式会社インテリジェント　ウェイブ
9159,S100Z2G0,2026-09-18,2026-06-30,120,2732098000.0,14000000.0,1275942000.0,3102236000.0,1826294000.0,1,0,1,株式会社Ｗ　ＴＯＫＹＯ
9227,S100Z32B,2026-09-17,2026-06-30,120,615250000.0,0.0,1246306000.0,1399210000.0,152904000.0,1,0,1,
6090,S100Z2EI,2026-09-17,2026-06-30,120,1767916000.0,49980000.0,451388000.0,2280319000.0,1828930000.0,0,0,1,
4385,S100Z2BE,2026-09-17,2026-06-30,120,682996000000.0,,589154000000.0,726622000000.0,137468000000.0,0,0,1,
3984,S100Z2OT,2026-09-16,2026-06-30,120,10452635000.0,0.0,1734381000.0,11180602000.0,9446221000.0,1,0,1,
