date,kind,rank,code,name,score,entry,atr,stop,target,adjf,status,exit_date,exit,r_multiple,bars
2026-09-11,trend,1,4888.T,ステラファーマ株式会社,91.4,411.0,18.98,373.04,467.94,,open,,,,
2026-09-11,trend,2,8362.T,株式会社福井銀行,89.5,7680.0,343.36,6993.28,8710.08,,open,,,,
2026-09-11,trend,3,8387.T,株式会社四国銀行,89.0,4125.0,151.64,3821.72,4579.92,,open,,,,
2026-09-11,trend,4,2038.T,,86.9,2616.0,115.75,2384.5,2963.25,,open,,,,
2026-09-11,trend,5,9507.T,四国電力株式会社,85.2,2174.5,68.47,2037.56,2379.91,,open,,,,
2026-09-11,trend,6,5033.T,株式会社ヌーラボ,84.8,1175.0,54.09,1066.82,1337.27,,open,,,,
2026-09-11,trend,7,8551.T,株式会社　北日本銀行,83.6,8480.0,305.22,7869.56,9395.66,,open,,,,
2026-09-11,trend,8,296A.T,令和アカウンティング・ホールディングス株式会社,83.4,1161.0,45.88,1069.24,1298.64,,open,,,,
2026-09-11,trend,9,153A.T,株式会社カウリス,83.2,1632.0,79.94,1472.12,1871.82,,open,,,,
2026-09-11,trend,10,3692.T,株式会社ＦＦＲＩセキュリティ,83.1,6330.0,338.49,5653.02,7345.47,,target,2026-09-15,,,
2026-09-11,revert,1,4220.T,リケンテクノス株式会社,60.1,2317.0,81.85,2153.3,2562.55,,open,,,,
2026-09-11,revert,2,9278.T,ブックオフグループホールディングス株式会社,60.0,2659.0,114.19,2430.62,3001.57,,open,,,,
2026-09-11,revert,3,6523.T,ＰＨＣホールディングス株式会社,56.1,1224.0,54.82,1114.36,1388.46,,open,,,,
2026-09-11,revert,4,7504.T,株式会社高速,55.2,4395.0,199.0,3997.0,4992.0,,open,,,,
2026-09-11,revert,5,7272.T,ヤマハ発動機株式会社,54.2,1731.5,63.85,1603.8,1923.05,,open,,,,
2026-09-11,revert,6,7774.T,株式会社ジャパン・ティッシュエンジニアリング,53.7,790.0,41.67,706.66,915.01,,open,,,,
2026-09-11,revert,7,3660.T,,53.1,471.0,19.47,432.06,529.41,,open,,,,
2026-09-11,revert,8,3697.T,,52.3,834.5,42.99,748.52,963.47,,open,,,,
2026-09-11,revert,9,4575.T,,52.3,734.0,38.43,657.14,849.29,,open,,,,
2026-09-11,revert,10,4674.T,株式会社クレスコ,52.2,1742.0,55.0,1632.0,1907.0,,open,,,,
2026-09-11,value,1,7201.T,日産自動車株式会社,100.0,311.7,10.72,290.26,343.86,1.0,open,,,,
2026-09-11,value,2,7173.T,株式会社東京きらぼしフィナンシャルグループ,100.0,1676.0,51.51,1572.98,1830.53,1.0,open,,,,
2026-09-11,value,3,7236.T,株式会社ティラド,100.0,1444.0,42.92,1358.16,1572.76,1.0,open,,,,
2026-09-11,value,4,7279.T,株式会社ハイレックスコーポレーション,100.0,2469.0,86.73,2295.54,2729.19,1.0,open,,,,
2026-09-11,value,5,3863.T,日本製紙株式会社,100.0,1299.0,40.19,1218.62,1419.57,1.0,open,,,,
2026-09-11,value,6,6513.T,株式会社オリジン,100.0,1250.0,29.49,1191.02,1338.47,1.0,open,,,,
2026-09-11,value,7,5408.T,株式会社中山製鋼所,100.0,636.0,13.53,608.94,676.59,1.0,open,,,,
2026-09-11,value,8,2501.T,サッポロホールディングス株式会社,100.0,1838.0,47.79,1742.42,1981.37,1.0,open,,,,
2026-09-11,value,9,5852.T,株式会社アーレスティ,100.0,667.0,13.59,639.82,707.77,1.0,open,,,,
2026-09-11,value,10,6083.T,,100.0,1518.0,42.28,1433.44,1644.84,1.0,target,2026-09-17,,,
2026-09-11,value,1,4222.T,児玉化学工業株式会社,100.0,648.0,30.21,587.58,738.63,1.0,open,,,,
2026-09-11,value,4,6390.T,株式会社加藤製作所,99.0,1322.0,21.63,1278.74,1386.89,1.0,open,,,,
2026-09-11,value,5,8699.T,ＨＳホールディングス株式会社,99.0,1120.0,21.42,1077.16,1184.26,1.0,open,,,,
2026-09-11,value,6,8309.T,三井住友トラストグループ株式会社,99.0,1767.0,41.48,1684.04,1891.44,1.0,open,,,,
2026-09-11,value,7,8011.T,株式会社三陽商会,99.0,1313.0,63.37,1186.26,1503.11,1.0,open,,,,
2026-09-11,value,8,5410.T,合同製鐵株式会社,98.0,3110.0,61.56,2986.88,3294.68,1.0,open,,,,
2026-09-11,value,9,6844.T,新電元工業株式会社,98.0,2864.0,114.25,2635.5,3206.75,1.0,open,,,,
2026-09-11,value,10,5989.T,株式会社エイチワン,98.0,1425.0,36.38,1352.24,1534.14,1.0,open,,,,
2026-09-11,value,9,8053.T,住友商事株式会社,98.0,1822.0,53.6,1714.8,1982.8,1.0,open,,,,
2026-09-15,value,8,2264.T,森永乳業株式会社,98.0,1122.5,31.53,1059.44,1217.09,1.0,open,,,,
2026-09-15,value,9,7181.T,株式会社かんぽ生命保険,98.0,1763.0,44.16,1674.68,1895.48,1.0,open,,,,
